Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,UTILIZATION
9964bc6a-3bf1-35ba-8e14-474709dca5ad,fcfe244e-8fd6-3bad-8d9d-c3fcdd174834,Denny560 Yundt842,M,GENERAL PRACTICE,136 W DIAMOND STREET,PHILADELPHIA,PA,19122,40.009376,-75.133346,3596
e9d49bac-1968-387c-8d61-c87ee8463c2a,47b1db6e-cc1e-3ea0-9602-7be90a005cdb,Stefan297 Legros616,M,GENERAL PRACTICE,8835 GERMANTOWN AVE,PHILADELPHIA,PA,19118,40.009376,-75.133346,3516
3b6d3419-b4e3-373b-b7c2-bde3279c69f3,897aedbb-71c0-30e0-bfde-54e3401c60c9,Avery919 Muller251,M,GENERAL PRACTICE,3401 NORTH BROAD STREET,PHILADELPHIA,PA,19140,40.009376,-75.133346,3614
452f8f1a-6adc-33be-83ff-f06324db41b9,268c760b-f628-31ae-a1a4-4294a711324d,Racquel201 Hegmann834,F,GENERAL PRACTICE,155 WILSON AVENUE,WASHINGTON,PA,15301,40.140771,-75.192577,1483
58f0663f-3c65-3963-9c93-c83d4183ed78,b1fc56db-2382-3016-8c41-fed41b987595,Deidre679 Hoeger474,F,GENERAL PRACTICE,501 BATH ROAD,BRISTOL,PA,19007,40.123638,-74.867385,65
f26eaeda-78a8-3d25-861e-c8d26d89a621,e9d7a929-3b7f-3065-884b-726b76258e82,Guadalupe206 Sáenz811,F,GENERAL PRACTICE,7600 CENTRAL AVENUE,PHILADELPHIA,PA,19111,40.009376,-75.133346,3298
93639098-5516-3cb8-898a-8b2608d1ef6c,031dc37f-ebac-3924-9872-29d56127dbc2,Sunni15 Deckow585,F,GENERAL PRACTICE,501 NORTH LANSDOWNE AVE,DREXEL HILL,PA,19026,39.949501,-75.30388,135
e6bde1ac-555f-36b2-92da-d63d37dd20a9,682744b0-f22a-3eb6-b2c8-2c256311c662,Marilou153 Conn188,F,GENERAL PRACTICE,1648 HUNTINGDON PIKE,MEADOWBROOK,PA,19046,40.182544,-75.138657,290
8df4715b-8f6d-3711-a448-14b069d5e8c6,27c70cad-0e56-3ec9-ba2f-0f913b90247a,Fawn386 Corkery305,F,GENERAL PRACTICE,34TH & SPRUCE STS,PHILADELPHIA,PA,19104,40.009376,-75.133346,3808
ea5ee480-c291-3929-821b-87cbda121512,1d119c42-60d9-36a1-839f-f830cad78a2e,Bula88 Jakubowski832,F,GENERAL PRACTICE,10800 KNIGHTS ROAD,PHILADELPHIA,PA,19114,40.009376,-75.133346,4041
5514d398-55d4-3e2d-8183-d7254414997f,c379d77c-0781-34a7-a519-ac996bdebf69,Isaura563 Lynch190,F,GENERAL PRACTICE,130 SOUTH BRYN MAWR AVE,BRYN MAWR,PA,19010,40.022709000000006,-75.315651,3564
000b4e36-c4e8-3417-b5ec-6fad141c3298,78cd7c69-0354-344c-bd4c-9854d847ef75,Michael441 Stamm704,M,GENERAL PRACTICE,5501 OLD YORK ROAD,PHILADELPHIA,PA,19141,40.009376,-75.133346,3593
0f01a6e4-ce97-3557-b1ca-c2d78917eaf4,9a7b4265-f732-3fe2-bd35-92147b1440c3,Stacia109 Steuber698,F,GENERAL PRACTICE,LANSDOWNE & BAILY RDS,DARBY,PA,19023,39.949012,-75.289115,6378
52781e8a-cf94-3178-8539-ee1ebc489138,04c62219-faf8-3231-b399-782c9122f35c,Sebastian508 Roberts511,M,GENERAL PRACTICE,111 SOUTH 11TH STREET,PHILADELPHIA,PA,19107,40.009376,-75.133346,3924
8200f77f-9b0a-3ec2-824b-3a3dffb917e6,fc63d100-1b79-3246-bb97-d770c4bcf7e4,Laticia649 Harris789,F,GENERAL PRACTICE,100 LANCASTER AVE,WYNNEWOOD,PA,19096,40.10321,-75.151772,11956
cd6dc3bb-e492-3b14-9df7-b11e3ef8b5ab,01e2510f-374b-30e0-a7a7-169730f7e3ad,Mark765 Schamberger479,F,GENERAL PRACTICE,2601 HOLME AVE,PHILADELPHIA,PA,19152,40.009376,-75.133346,3468
