Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
7bbb9d0b-bdbd-c4b3-7a7f-422de8cd695f,2000-04-14,,999-63-5347,S99916747,X79215711X,Ms.,Sibyl335,Abbott774,,,,white,nonhispanic,F,Philadelphia  Pennsylvania  US,391 Kassulke Rapid Unit 50,Philadelphia,Pennsylvania,Philadelphia County,19122,39.985257325822005,-75.04579347708138,690064.4875,731.8425
8e38e087-e282-3531-32a9-aa6fc30e9dbb,1992-11-12,,999-75-3533,S99970461,X50035608X,Mr.,Hoyt490,Cartwright189,,,M,other,nonhispanic,M,Lower Macungie  Pennsylvania  US,1043 Nader Union,Philadelphia,Pennsylvania,Philadelphia County,19119,40.011318586577914,-75.09517863205451,729210.0550000002,2079.1349999999998
00105505-fb78-3b33-82f3-c0ddcf4863f2,1990-07-07,,999-74-2913,S99948567,X41428376X,Mr.,Jefferey580,Hand679,,,M,black,nonhispanic,M,South Union  Pennsylvania  US,704 Torp Throughway Apt 55,Philadelphia,Pennsylvania,Philadelphia County,,39.98904642329806,-75.10489085528243,877351.8600000001,34497.21
f2e54243-ebd7-fbaa-30ff-e12c3e8fcc10,1988-09-05,,999-55-5334,S99930758,X74623713X,Mrs.,Oda116,Schneider199,,Kozey370,M,white,nonhispanic,F,Logan  Pennsylvania  US,1064 Kerluke Green,Philadelphia,Pennsylvania,Philadelphia County,19138,40.12417338250771,-74.97929682015199,1216018.1250000002,334364.005
0ec3c4e1-1c83-b784-4f61-7db55bb3557c,1991-02-19,,999-54-1913,S99926902,X53682896X,Mr.,Lee268,Kertzmann286,,,M,white,nonhispanic,M,Montgomery  Pennsylvania  US,885 Carter Trafficway Apt 76,Philadelphia,Pennsylvania,Philadelphia County,19128,40.005718864696796,-75.14755340032666,125473.89050000001,266833.91949999996
5f8e3489-844a-a461-ce91-865c5644c6af,1985-05-22,,999-43-8701,S99932529,X54376516X,Mrs.,Carlota980,Piña753,,Alba338,M,black,hispanic,F,Salisbury  Saint Joseph Parish  DM,499 Barton Drive Unit 20,Philadelphia,Pennsylvania,Philadelphia County,19152,39.97075837864793,-75.06388992707298,2081157.235,18671.714999999997
217c6bb9-d1c1-4ade-bcea-0750763f01c5,1978-12-16,,999-44-1074,S99986126,X23826350X,Mrs.,Melvin857,Kreiger457,,Rogahn59,M,white,nonhispanic,F,Upper Chichester  Pennsylvania  US,468 Rowe Path Unit 18,Philadelphia,Pennsylvania,Philadelphia County,19152,39.90205874088716,-75.23984275233599,1793294.7510000004,280589.6889999999
48fdfd6b-8d0a-efa9-0a4e-8b70ca753046,1973-12-05,,999-61-8236,S99933084,X53760433X,Mrs.,Glory745,Schuppe920,,Tromp100,M,black,nonhispanic,F,Philadelphia  Pennsylvania  US,179 Kovacek Pathway Unit 73,Philadelphia,Pennsylvania,Philadelphia County,19120,39.9829246572482,-75.15494058192091,1694188.216,222208.354
480e9cd2-3209-2ce6-bb8e-5462e18aae10,1963-06-07,,999-20-3168,S99955637,X52807918X,Mr.,Clinton763,Bednar518,,,S,white,nonhispanic,M,Ferguson  Pennsylvania  US,881 Heidenreich Trailer,Philadelphia,Pennsylvania,Philadelphia County,19118,39.99870511600334,-75.19043600549712,1505058.3675,668.0625
d310eb41-1e2d-67a5-bf7c-1cd76d6fd711,1962-12-16,,999-52-1941,S99915374,X67324015X,Mr.,Benito209,Ceballos171,,,M,black,hispanic,M,Havana  Havana  CU,667 Effertz Drive,Philadelphia,Pennsylvania,Philadelphia County,19125,39.95835102027085,-75.09138191199023,1485503.0425000002,8587.2075
